customer_id,FN,Active,club_member_status,fashion_news_frequency,age,postal_code
0002e6cdaab622b5047407efc0d0bf85e23220e092012095d98119fa9cb3cee7,,,ACTIVE,NONE,25,e3fe8160ace8eba9c7e2c8fb711c1b4393994e2c1cd032fcece59e980612ec4e
0006d3ff0caf0cb4d4e0615ee5cb7d268622364d483335bf21fbf296e785e282,,,ACTIVE,NONE,36,7c29f3eec98c980a928b8c869325b5c2a06f033380a6bdeed0ec739834b69e61
000c6acfc0457b99ae3150e8e57beffb4c8d7c5fc31e40bfd721598d193a25a1,,,ACTIVE,NONE,56,059634cf1bf452defb54755f4fbd0a209f30d2c00840149fa2b3cb366e8935ff
000fb6e772c5d0023892065e659963da90b1866035558ec16fca51b0dcfb7e59,1.0,1.0,ACTIVE,Regularly,42,68ca4d9d6051d9c10b917d36bf9cb4afbadc551f7e4febf83cea27eeebff56de
00130faf36f2571cf7e08451b317545004a8a85327661ffe0f78d4728047d74f,1.0,1.0,ACTIVE,Regularly,23,bacfcdbbe53353eb7c558122cf94382858d813abef3a90d12a69c89a1c139b0c
00161807b400646237229582e0d2333ef150881037858be8424b5e8202d06ddb,,,ACTIVE,NONE,39,84241c94f2a30bf46e1eaa8f16505056861246ab0921d2cfc712152ddd3d8258
001cae0f8d784913b4850af09f2c86ce09cdd177f49f8859ef373cebfd8d1594,,,ACTIVE,NONE,20,4fa82f7b2d0cdfef9247f512ace6bf4782a4982ac202e394afee776fac0f293e
001fd23db1109a94bba1319bb73df0b479059027c182da490e1161b34cd3af61,,,ACTIVE,NONE,53,ad36d566f461bead333901eb0f36a7fca1f86cac0e4f9fdc1da70a7ebb0eb5be
002267cd60c32dc4faa6d5767e2b70b1479d4d6face516545bd90dfc8f9a6adf,,,ACTIVE,NONE,62,342a435853ff4eec8acd81efff643ef49d41e015e07b449561a500772f34ad7a
002970d3135c64015247d0d2c99b1e25c0d2d9fb2c0a7c0d937daa3b8b5eada6,,,ACTIVE,NONE,20,387467daeb0abd44fbe2bce5b1dbaaa39b1105e4e03456a8e3ea72e57e95ca95
00342c6b8ff83f7e5cdc3150630831662e98be97da3dd30ac3d23f1312e61e60,1.0,1.0,ACTIVE,Regularly,56,b9a6ef3c38ae881f738507603a6277c51f00cee7c8a4fb33f9f5c3754afedbe8
00357b192b81fc83261a45be87f5f3d59112db7d117513c1e908e6a7021edc35,,,ACTIVE,NONE,47,89125db58e99446654ab1d3f9ab0ed3acc4fe4791345881f3d9a0e903c20e052
003ca8034fe32b9bab8e1c03d74c972abd80dccf84a30200eb6294249965721a,1.0,1.0,ACTIVE,Regularly,26,7b41c31322ac8806ab98b42d3c0724541edd62ca3535a779f12e7b5d6d364524
